Station_Name,Latitude,Longitude,Ini_Date,End_Date,Variable
Chiapas5deMarzo,15.04469444,-92.53327778,3/1/2009,9/20/2015,P
Chiapas5deMarzo,15.04469444,-92.53327778,3/1/2009,9/20/2015,RH
Chiapas5deMarzo,15.04469444,-92.53327778,3/1/2009,9/20/2015,TM
Chiapas5deMarzo,15.04469444,-92.53327778,3/1/2009,9/20/2015,TX
ChiapasAgroipsa,17.58973,-91.94636,9/3/2013,12/13/2017,P
ChiapasAgroipsa,17.58973,-91.94636,9/3/2013,12/13/2017,RH
ChiapasAgroipsa,17.58973,-91.94636,9/3/2013,12/13/2017,SR
ChiapasAgroipsa,17.58973,-91.94636,9/3/2013,12/13/2017,TM
ChiapasAgroipsa,17.58973,-91.94636,9/3/2013,12/13/2017,TX
ChiapasAlpujarras,15.07486111,-92.16930556,4/18/2011,9/20/2015,RH
ChiapasAlpujarras,15.07486111,-92.16930556,4/18/2011,9/20/2015,SR
ChiapasAlpujarras,15.07486111,-92.16930556,4/18/2011,9/20/2015,TM
ChiapasAlpujarras,15.07486111,-92.16930556,4/18/2011,9/20/2015,TX
ChiapasArgelia,14.83969444,-92.50369444,3/1/2009,9/20/2015,SR
ChiapasArgelia,14.83969444,-92.50369444,3/1/2009,9/20/2015,TM
ChiapasArgelia,14.83969444,-92.50369444,3/1/2009,9/20/2015,TX
ChiapasArgovia,15.12858333,-92.29530556,11/10/2007,9/20/2015,P
ChiapasArgovia,15.12858333,-92.29530556,11/10/2007,9/20/2015,TM
ChiapasArgovia,15.12858333,-92.29530556,11/10/2007,9/20/2015,TX
ChiapasAustralia,16.25030556,-92.46119444,7/1/2008,3/5/2013,P
ChiapasAustralia,16.25030556,-92.46119444,7/1/2008,3/5/2013,SR
ChiapasAustralia,16.25030556,-92.46119444,7/1/2008,3/5/2013,TM
ChiapasAustralia,16.25030556,-92.46119444,7/1/2008,3/5/2013,TX
ChiapasBuenaVista,14.89395281,-92.3797444,11/17/2007,9/20/2015,P
ChiapasBuenaVista,14.89395281,-92.3797444,11/17/2007,9/20/2015,RH
ChiapasBuenaVista,14.89395281,-92.3797444,11/17/2007,9/20/2015,SR
ChiapasBuenaVista,14.89395281,-92.3797444,11/17/2007,9/20/2015,TM
ChiapasBuenaVista,14.89395281,-92.3797444,11/17/2007,9/20/2015,TX
ChiapasCampoExperimentalRosarioIzapa,14.97458889,-92.15629722,11/9/2007,9/20/2015,P
ChiapasCampoExperimentalRosarioIzapa,14.97458889,-92.15629722,11/9/2007,9/20/2015,RH
ChiapasCampoExperimentalRosarioIzapa,14.97458889,-92.15629722,11/9/2007,9/20/2015,SR
ChiapasCampoExperimentalRosarioIzapa,14.97458889,-92.15629722,11/9/2007,9/20/2015,TM
ChiapasCampoExperimentalRosarioIzapa,14.97458889,-92.15629722,11/9/2007,9/20/2015,TX
ChiapasCarolina,14.92451667,-92.47433333,11/8/2007,9/11/2015,P
ChiapasCarolina,14.92451667,-92.47433333,11/8/2007,9/11/2015,RH
ChiapasCarolina,14.92451667,-92.47433333,11/8/2007,9/11/2015,SR
ChiapasCarolina,14.92451667,-92.47433333,11/8/2007,9/11/2015,TM
ChiapasCarolina,14.92451667,-92.47433333,11/8/2007,9/11/2015,TX
ChiapasCECECH,16.76666667,-93.4,1/1/2006,12/15/2014,P
ChiapasCECECH,16.76666667,-93.4,1/1/2006,12/15/2014,RH
ChiapasCECECH,16.76666667,-93.4,1/1/2006,12/15/2014,SR
ChiapasCECECH,16.76666667,-93.4,1/1/2006,12/15/2014,TM
ChiapasCECECH,16.76666667,-93.4,1/1/2006,12/15/2014,TX
ChiapasComitán,16.257783,-92.093616,11/20/2015,12/13/2017,P
ChiapasComitán,16.257783,-92.093616,11/20/2015,12/13/2017,RH
ChiapasComitán,16.257783,-92.093616,11/20/2015,12/13/2017,SR
ChiapasComitán,16.257783,-92.093616,11/20/2015,12/13/2017,TM
ChiapasComitán,16.257783,-92.093616,11/20/2015,12/13/2017,TX
ChiapasConstitución,16.21080556,-92.38688889,7/1/2008,3/3/2013,P
ChiapasConstitución,16.21080556,-92.38688889,7/1/2008,3/3/2013,RH
ChiapasConstitución,16.21080556,-92.38688889,7/1/2008,3/3/2013,SR
ChiapasConstitución,16.21080556,-92.38688889,7/1/2008,3/3/2013,TM
ChiapasConstitución,16.21080556,-92.38688889,7/1/2008,3/3/2013,TX
ChiapasElArca,16.30425,-92.47408333,7/24/2009,3/5/2013,P
ChiapasElArca,16.30425,-92.47408333,7/24/2009,3/5/2013,RH
ChiapasElArca,16.30425,-92.47408333,7/24/2009,3/5/2013,SR
ChiapasElArca,16.30425,-92.47408333,7/24/2009,3/5/2013,TM
ChiapasElArca,16.30425,-92.47408333,7/24/2009,3/5/2013,TX
ChiapasElPotrero,17.79791,-91.88634,8/31/2013,12/13/2017,P
ChiapasElPotrero,17.79791,-91.88634,8/31/2013,12/13/2017,RH
ChiapasElPotrero,17.79791,-91.88634,8/31/2013,12/13/2017,SR
ChiapasElPotrero,17.79791,-91.88634,8/31/2013,12/13/2017,TM
ChiapasElPotrero,17.79791,-91.88634,8/31/2013,12/13/2017,TX
ChiapasElRecreo,16.33175,-92.40913889,7/1/2008,3/4/2013,P
ChiapasElRecreo,16.33175,-92.40913889,7/1/2008,3/4/2013,RH
ChiapasElRecreo,16.33175,-92.40913889,7/1/2008,3/4/2013,SR
ChiapasElRecreo,16.33175,-92.40913889,7/1/2008,3/4/2013,TM
ChiapasElRecreo,16.33175,-92.40913889,7/1/2008,3/4/2013,TX
ChiapasElRetiro,15.07686111,-92.22561111,11/10/2007,10/9/2012,P
ChiapasElRetiro,15.07686111,-92.22561111,11/10/2007,10/9/2012,RH
ChiapasElRetiro,15.07686111,-92.22561111,11/10/2007,10/9/2012,SR
ChiapasElRetiro,15.07686111,-92.22561111,11/10/2007,10/9/2012,TM
ChiapasElRetiro,15.07686111,-92.22561111,11/10/2007,10/9/2012,TX
ChiapasElTintillo,17.75483,-91.94568,8/31/2013,12/13/2017,P
ChiapasElTintillo,17.75483,-91.94568,8/31/2013,12/13/2017,RH
ChiapasElTintillo,17.75483,-91.94568,8/31/2013,12/13/2017,SR
ChiapasElTintillo,17.75483,-91.94568,8/31/2013,12/13/2017,TM
ChiapasElTintillo,17.75483,-91.94568,8/31/2013,12/13/2017,TX
ChiapasEmperador,16.03599444,-93.75091667,4/3/2013,3/7/2017,P
ChiapasEmperador,16.03599444,-93.75091667,4/3/2013,3/7/2017,RH
ChiapasEmperador,16.03599444,-93.75091667,4/3/2013,3/7/2017,SR
ChiapasEmperador,16.03599444,-93.75091667,4/3/2013,3/7/2017,TM
ChiapasEmperador,16.03599444,-93.75091667,4/3/2013,3/7/2017,TX
ChiapasFLORESMAGÓN,15.856673,-93.445413,8/25/2015,12/5/2017,P
ChiapasFLORESMAGÓN,15.856673,-93.445413,8/25/2015,12/5/2017,RH
ChiapasFLORESMAGÓN,15.856673,-93.445413,8/25/2015,12/5/2017,SR
ChiapasFLORESMAGÓN,15.856673,-93.445413,8/25/2015,12/5/2017,TM
ChiapasFLORESMAGÓN,15.856673,-93.445413,8/25/2015,12/5/2017,TX
ChiapasIngenioHuixtla,15.08833,-92.50386,5/9/2008,9/20/2015,P
ChiapasIngenioHuixtla,15.08833,-92.50386,5/9/2008,9/20/2015,RH
ChiapasIngenioHuixtla,15.08833,-92.50386,5/9/2008,9/20/2015,SR
ChiapasIngenioHuixtla,15.08833,-92.50386,5/9/2008,9/20/2015,TM
ChiapasIngenioHuixtla,15.08833,-92.50386,5/9/2008,9/20/2015,TX
ChiapasLaBorcelana,16.74916667,-93.47444444,3/1/2012,12/15/2014,P
ChiapasLaBorcelana,16.74916667,-93.47444444,3/1/2012,12/15/2014,RH
ChiapasLaBorcelana,16.74916667,-93.47444444,3/1/2012,12/15/2014,SR
ChiapasLaBorcelana,16.74916667,-93.47444444,3/1/2012,12/15/2014,TM
ChiapasLaBorcelana,16.74916667,-93.47444444,3/1/2012,12/15/2014,TX
ChiapasLACONCORDIA,16.68435,-93.71455,7/9/2015,12/5/2017,P
ChiapasLACONCORDIA,16.68435,-93.71455,7/9/2015,12/5/2017,RH
ChiapasLACONCORDIA,16.68435,-93.71455,7/9/2015,12/5/2017,SR
ChiapasLACONCORDIA,16.68435,-93.71455,7/9/2015,12/5/2017,TM
ChiapasLACONCORDIA,16.68435,-93.71455,7/9/2015,12/5/2017,TX
ChiapasLaIlusion,17.53975,-92.21729,9/4/2013,12/14/2017,P
ChiapasLaIlusion,17.53975,-92.21729,9/4/2013,12/14/2017,RH
ChiapasLaIlusion,17.53975,-92.21729,9/4/2013,12/14/2017,SR
ChiapasLaIlusion,17.53975,-92.21729,9/4/2013,12/14/2017,TM
ChiapasLaIlusion,17.53975,-92.21729,9/4/2013,12/14/2017,TX
ChiapasLaMesa,16.20108333,-92.31388889,3/6/2009,3/5/2013,P
ChiapasLaMesa,16.20108333,-92.31388889,3/6/2009,3/5/2013,RH
ChiapasLaMesa,16.20108333,-92.31388889,3/6/2009,3/5/2013,SR
ChiapasLaMesa,16.20108333,-92.31388889,3/6/2009,3/5/2013,TM
ChiapasLaMesa,16.20108333,-92.31388889,3/6/2009,3/5/2013,TX
ChiapasLaNorteña,14.75988889,-92.38633333,11/7/2007,9/20/2015,P
ChiapasLaNorteña,14.75988889,-92.38633333,11/7/2007,9/20/2015,RH
ChiapasLaNorteña,14.75988889,-92.38633333,11/7/2007,9/20/2015,SR
ChiapasLaNorteña,14.75988889,-92.38633333,11/7/2007,9/20/2015,TM
ChiapasLaNorteña,14.75988889,-92.38633333,11/7/2007,9/20/2015,TX
ChiapasLosSergios,16.07277778,-93.79751389,4/3/2013,3/7/2017,P
ChiapasLosSergios,16.07277778,-93.79751389,4/3/2013,3/7/2017,RH
ChiapasLosSergios,16.07277778,-93.79751389,4/3/2013,3/7/2017,SR
ChiapasLosSergios,16.07277778,-93.79751389,4/3/2013,3/7/2017,TM
ChiapasLosSergios,16.07277778,-93.79751389,4/3/2013,3/7/2017,TX
ChiapasRanchoSanJosé,15.12906,-92.58442,5/9/2008,9/20/2015,P
ChiapasRanchoSanJosé,15.12906,-92.58442,5/9/2008,9/20/2015,RH
ChiapasRanchoSanJosé,15.12906,-92.58442,5/9/2008,9/20/2015,SR
ChiapasRanchoSanJosé,15.12906,-92.58442,5/9/2008,9/20/2015,TM
ChiapasRanchoSanJosé,15.12906,-92.58442,5/9/2008,9/20/2015,TX
ChiapasSANPEDROBUENAVISTA,16.117705,-93.161524,7/8/2015,12/5/2017,P
ChiapasSANPEDROBUENAVISTA,16.117705,-93.161524,7/8/2015,12/5/2017,RH
ChiapasSANPEDROBUENAVISTA,16.117705,-93.161524,7/8/2015,12/5/2017,SR
ChiapasSANPEDROBUENAVISTA,16.117705,-93.161524,7/8/2015,12/5/2017,TM
ChiapasSANPEDROBUENAVISTA,16.117705,-93.161524,7/8/2015,12/5/2017,TX
ChiapasSantumpa,17.62591,-91.68415,9/2/2013,12/14/2017,P
ChiapasSantumpa,17.62591,-91.68415,9/2/2013,12/14/2017,RH
ChiapasSantumpa,17.62591,-91.68415,9/2/2013,12/14/2017,SR
ChiapasSantumpa,17.62591,-91.68415,9/2/2013,12/14/2017,TM
ChiapasSantumpa,17.62591,-91.68415,9/2/2013,12/14/2017,TX
ChiapasTezuitlan,15.16952778,-92.66080556,3/1/2009,10/9/2012,P
ChiapasTezuitlan,15.16952778,-92.66080556,3/1/2009,10/9/2012,RH
ChiapasTezuitlan,15.16952778,-92.66080556,3/1/2009,10/9/2012,SR
ChiapasTezuitlan,15.16952778,-92.66080556,3/1/2009,10/9/2012,TM
ChiapasTezuitlan,15.16952778,-92.66080556,3/1/2009,10/9/2012,TX
ChiapasUmoa2aSección,14.82352778,-92.23130556,11/7/2007,9/20/2015,P
ChiapasUmoa2aSección,14.82352778,-92.23130556,11/7/2007,9/20/2015,RH
ChiapasUmoa2aSección,14.82352778,-92.23130556,11/7/2007,9/20/2015,TM
ChiapasUmoa2aSección,14.82352778,-92.23130556,11/7/2007,9/20/2015,TX
ChiapasYunnuenRanchoAlegre,14.69098333,-92.28751667,11/8/2007,6/30/2014,P
ChiapasYunnuenRanchoAlegre,14.69098333,-92.28751667,11/8/2007,6/30/2014,RH
ChiapasYunnuenRanchoAlegre,14.69098333,-92.28751667,11/8/2007,6/30/2014,TM
ChiapasYunnuenRanchoAlegre,14.69098333,-92.28751667,11/8/2007,6/30/2014,TX
