"Station_Name","Latitude","Longitude","Elevation","P","RH","SR","TM","TX","Ini_Date_P","End_Date_P","Ini_Date_RH","End_Date_RH","Ini_Date_TM","End_Date_TM","Ini_Date_TX","End_Date_TX","Ini_Date_SR","End_Date_SR","Min_Date","Max_Date"
"Chiapas5deMarzo",15.04469444,-92.53327778,10,1,1,0,1,1,2009-03-01,2015-09-20,2009-03-01,2015-09-20,2009-03-01,2015-09-20,2009-03-01,2015-09-20,NA,NA,"2009-03-01","2015-09-20"
"ChiapasAgroipsa",17.58973,-91.94636,59,1,1,1,1,1,2013-09-03,2017-12-13,2013-09-03,2017-12-13,2013-09-03,2017-12-13,2013-09-03,2017-12-13,2013-09-03,2017-12-13,"2013-09-03","2017-12-13"
"ChiapasAlpujarras",15.07486111,-92.16930556,998,0,1,1,1,1,NA,NA,2011-04-18,2015-09-20,2011-04-18,2015-09-20,2011-04-18,2015-09-20,2011-04-18,2015-09-20,"2011-04-18","2015-09-20"
"ChiapasArgelia",14.83969444,-92.50369444,4,0,0,1,1,1,NA,NA,NA,NA,2009-03-01,2015-09-20,2009-03-01,2015-09-20,2009-03-01,2015-09-20,"2009-03-01","2015-09-20"
"ChiapasArgovia",15.12858333,-92.29530556,712,1,0,0,1,1,2007-11-10,2015-09-20,NA,NA,2007-11-10,2015-09-20,2007-11-10,2015-09-20,NA,NA,"2007-11-10","2015-09-20"
"ChiapasAustralia",16.25030556,-92.46119444,601,1,0,1,1,1,2008-07-01,2013-03-05,NA,NA,2008-07-01,2013-03-05,2008-07-01,2013-03-05,2008-07-01,2013-03-05,"2008-07-01","2013-03-05"
"ChiapasBuenaVista",14.89395281,-92.3797444,45,1,1,1,1,1,2007-11-17,2015-09-20,2007-11-17,2015-09-20,2007-11-17,2015-09-20,2007-11-17,2015-09-20,2007-11-17,2015-09-20,"2007-11-17","2015-09-20"
"ChiapasCampoExperimentalRosarioIzapa",14.97458889,-92.15629722,444,1,1,1,1,1,2007-11-09,2015-09-20,2007-11-09,2015-09-20,2007-11-09,2015-09-20,2007-11-09,2015-09-20,2007-11-09,2015-09-20,"2007-11-09","2015-09-20"
"ChiapasCarolina",14.92451667,-92.47433333,18,1,1,1,1,1,2007-11-08,2015-09-11,2007-11-08,2015-09-11,2007-11-08,2015-09-11,2007-11-08,2015-09-11,2007-11-08,2015-09-11,"2007-11-08","2015-09-11"
"ChiapasCECECH",16.76666667,-93.4,783,1,1,1,1,1,2006-01-01,2014-12-15,2006-01-01,2014-12-15,2006-01-01,2014-12-15,2006-01-01,2014-12-15,2006-01-01,2014-12-15,"2006-01-01","2014-12-15"
